RANK THIS WEEK,RANK LAST WEEK,PLAYER NAME,ROUNDS,AVERAGE SGP,TOTAL SG:PUTTING,MEASURED ROUNDS
1,1,Brian Gay,39,1.068,29.89,28
2,2,Tyrrell Hatton,46,0.991,29.73,30
3,3,Lucas Herbert,45,0.883,28.251,32
4,4,Beau Hossler,56,0.844,41.371,49
5,T5,Denny McCarthy,80,0.751,48.843,65
6,T5,Brendon Todd,65,0.721,34.618,48
7,7,Martin Trainer,62,0.709,31.184,44
8,9,Cameron Smith,44,0.691,24.2,35
9,8,Kelly Kraft,47,0.682,22.51,33
10,13,Matt Kuchar,59,0.636,33.09,52
11,16,Billy Horschel,56,0.606,23.628,39
12,12,Mackenzie Hughes,57,0.598,25.101,42
13,14,Marc Leishman,61,0.593,29.073,49
14,11,Shane Lowry,43,0.579,17.375,30
15,17,Matthias Schwab,54,0.552,19.312,35
16,15,Troy Merritt,69,0.541,29.222,54
17,18,Tommy Fleetwood,47,0.527,17.912,34
18,19,Jim Knous,35,0.51,9.173,18
19,20,Sam Burns,54,0.509,23.928,47
20,21,Alex Noren,58,0.507,20.795,41
21,27,Max Homa,63,0.487,24.341,50
22,T24,Ian Poulter,45,0.468,16.841,36
23,26,Kevin Kisner,56,0.464,17.649,38
24,38,Viktor Hovland,57,0.432,18.15,42
25,22,Adam Long,71,0.428,24.398,57
26,29,Scottie Scheffler,67,0.407,17.887,44
27,30,Maverick McNealy,69,0.397,21.019,53
28,31,Jonathan Byrd,39,0.381,8.774,23
29,23,Seamus Power,69,0.379,17.047,45
30,52,Patrick Cantlay,43,0.371,10.398,28
31,T36,Matthew Wolff,46,0.368,12.515,34
32,10,Matt Fitzpatrick,45,0.353,9.892,28
33,50,Jason Day,48,0.342,13.004,38
34,T24,Adam Scott,48,0.336,13.09,39
35,28,Scott Stallings,70,0.328,18.357,56
36,35,Chesson Hadley,58,0.326,13.041,40
37,T36,Justin Rose,43,0.325,7.805,24
38,33,Patrick Rodgers,65,0.324,15.208,47
39,39,Rory Sabbatini,39,0.309,10.522,34
40,T43,Davis Riley,74,0.302,17.503,58
T41,40,Christiaan Bezuidenhout,61,0.295,10.926,37
T41,32,Patrick Reed,65,0.295,13.871,47
43,41,Harry Higgs,64,0.286,14.318,50
44,T43,Brooks Koepka,45,0.27,9.45,35
T45,42,Brian Harman,64,0.266,13.835,52
T45,45,Richy Werenski,50,0.266,9.589,36
47,46,Dylan Wu,53,0.265,8.755,33
48,47,Justin Thomas,53,0.264,10.829,41
49,48,Hank Lebioda,60,0.263,11.578,44
50,49,Jason Kokrak,55,0.262,12.597,48
51,51,Kevin Tway,59,0.26,12.2,47
T52,53,Sergio Garcia,37,0.249,5.983,24
T52,34,Rory McIlroy,34,0.249,7.475,30
54,58,Zach Johnson,48,0.226,9.249,41
T55,64,Peter Malnati,79,0.225,14.16,63
T55,T68,Keith Mitchell,65,0.225,11.679,52
57,57,Wyndham Clark,67,0.223,10.939,49
58,61,Nate Lashley,64,0.219,10.733,49
59,60,Sung Kang,66,0.214,9.845,46
60,74,Sepp Straka,79,0.213,11.484,54
61,66,Bill Haas,78,0.197,10.233,52
62,67,Michael Thompson,64,0.196,10.592,54
63,62,Lanto Griffin,72,0.192,11.929,62
T64,T68,Ben Kohles,47,0.189,5.091,27
T64,T68,Vince Whaley,65,0.189,8.526,45
66,T72,Adam Hadwin,66,0.188,9.38,50
T67,71,Stephan Jaeger,65,0.181,9.233,51
T67,T54,Xander Schauffele,51,0.181,6.687,37
69,56,Cameron Young,61,0.172,8.92,52
70,82,Joaquin Niemann,58,0.169,6.758,40
71,75,Abraham Ancer,59,0.165,7.6,46
72,59,Gary Woodland,53,0.158,7.257,46
73,76,Sungjae Im,67,0.155,8.203,53
74,109,Jon Rahm,50,0.151,5.889,39
75,T72,Cameron Tringale,73,0.147,8.101,55
T76,78,Pat Perez,62,0.145,7.386,51
T76,65,Nick Watney,60,0.145,6.678,46
78,77,Graeme McDowell,44,0.134,3.896,29
79,80,Wesley Bryan,37,0.128,3.212,25
80,63,Adam Schenk,75,0.125,7.244,58
81,98,Keegan Bradley,65,0.104,4.99,48
82,83,Mark Hubbard,48,0.102,3.168,31
83,97,Francesco Molinari,45,0.097,3.684,38
84,92,Stewart Cink,51,0.096,4.406,46
T85,106,Carlos Ortiz,55,0.089,4.101,46
T85,85,Harold Varner III,54,0.089,3.487,39
87,136,Daniel Berger,39,0.087,2.694,31
88,81,Andrew Putnam,66,0.083,4.393,53
89,87,Joshua Creel,35,0.08,1.841,23
90,88,Cam Davis,58,0.079,4.106,52
91,84,Corey Conners,64,0.07,3.451,49
92,89,Bronson Burgoon,37,0.068,1.839,27
93,T90,Talor Gooch,72,0.063,3.363,53
94,79,Sam Ryder,66,0.061,3.159,52
95,94,Max McGreevy,54,0.046,1.658,36
96,T112,J.T. Poston,58,0.044,2.208,50
97,96,Brice Garnett,63,0.043,1.938,45
98,86,Mito Pereira,74,0.042,2.668,63
99,99,J.J. Spaun,73,0.032,1.761,55
100,111,David Lipsky,70,0.027,1.394,52
101,103,Robert Streb,59,0.024,1.167,49
T102,T100,Kevin Na,42,0.023,0.786,34
T102,T100,Curtis Thompson,53,0.023,0.665,29
104,104,Webb Simpson,45,0.018,0.672,37
105,95,C.T. Pan,65,0.015,0.82,54
106,107,Seung-Yul Noh,47,0.011,0.321,28
107,T130,Luke Donald,51,0.004,0.17,38
108,105,Hudson Swafford,64,0.002,0.076,48
109,129,Aaron Wise,60,0,0.004,55
110,110,Russell Henley,61,-0.004,-0.174,47
111,T90,K.H. Lee,70,-0.009,-0.587,62
T112,114,Tom Hoge,79,-0.013,-0.718,56
T112,T112,John Huh,53,-0.013,-0.512,38
114,117,Louis Oosthuizen,33,-0.02,-0.589,29
115,149,Aaron Rai,73,-0.022,-1.167,53
116,124,Joel Dahmen,71,-0.03,-1.745,58
117,119,Dylan Frittelli,67,-0.034,-1.864,55
118,T120,David Skinns,48,-0.036,-1.079,30
T119,93,Patton Kizzire,68,-0.043,-2.477,58
T119,122,Seth Reeves,49,-0.043,-1.249,29
121,118,Anirban Lahiri,58,-0.048,-2.291,48
122,123,Doc Redman,65,-0.05,-2.246,45
123,108,Kevin Streelman,68,-0.055,-3.288,60
124,T120,Collin Morikawa,48,-0.06,-1.917,32
125,T115,Brandon Hagy,61,-0.064,-2.626,41
126,127,Chris Kirk,66,-0.065,-3.174,49
127,126,Greyson Sigg,68,-0.068,-3.243,48
128,T54,Brandon Wu,56,-0.07,-2.385,34
129,125,Jhonattan Vegas,61,-0.076,-3.57,47
130,154,Brandt Snedeker,53,-0.078,-3.187,41
131,128,Taylor Pendrith,51,-0.08,-3.138,39
132,T115,Kramer Hickok,67,-0.093,-4.636,50
T133,T130,Kevin Chappell,43,-0.097,-2.73,28
T133,T130,Scott Piercy,62,-0.097,-4.666,48
135,133,Kurt Kitayama,54,-0.119,-4.037,34
136,134,Peter Uihlein,46,-0.13,-3.384,26
137,135,Hideki Matsuyama,53,-0.132,-5.824,44
138,141,William McGirt,32,-0.138,-4.291,31
139,T137,Nick Taylor,66,-0.148,-7.534,51
140,139,Austin Cook,47,-0.152,-4.405,29
141,T137,Cameron Champ,40,-0.156,-4.838,31
T142,142,Austin Smotherman,57,-0.169,-6.92,41
T142,147,Sahith Theegala,81,-0.169,-11.01,65
T144,T143,Sebastián Muñoz,62,-0.177,-9.026,51
T144,T143,Roger Sloan,54,-0.177,-7.603,43
146,T151,Matthew NeSmith,76,-0.183,-10.984,60
147,148,Jared Wolfe,45,-0.187,-5.793,31
148,150,Callum Tarren,45,-0.198,-5.547,28
149,173,Jordan Spieth,53,-0.2,-9.008,45
150,146,Emiliano Grillo,62,-0.203,-9.732,48
151,T151,Chad Ramey,65,-0.207,-9.298,45
152,155,Dawie van der Walt,44,-0.208,-5.831,28
153,156,Dustin Johnson,37,-0.22,-5.499,25
154,166,Will Zalatoris,61,-0.227,-8.857,39
155,161,Adam Svensson,72,-0.228,-12.288,54
156,T143,Alex Smalley,69,-0.241,-12.787,53
157,158,Ryan Armour,40,-0.251,-5.777,23
158,140,Danny Lee,46,-0.254,-8.143,32
159,165,Justin Lower,52,-0.258,-7.733,30
160,T151,Rickie Fowler,53,-0.26,-10.904,42
T161,174,Charles Howell III,46,-0.263,-10.263,39
T161,168,Si Woo Kim,76,-0.263,-16.314,62
163,159,Paul Barjon,51,-0.265,-10.849,41
164,160,Nick Hardy,39,-0.267,-5.601,21
165,185,Garrick Higgo,48,-0.274,-8.221,30
166,162,Tyler Duncan,61,-0.276,-11.033,40
167,163,Andrew Novak,54,-0.283,-9.057,32
168,164,Tony Finau,55,-0.289,-11.83,41
169,157,Erik van Rooyen,47,-0.298,-11.33,38
170,167,Jimmy Walker,41,-0.3,-9.899,33
171,169,Trey Mullinax,56,-0.324,-13.596,42
172,T170,Chase Seiffert,37,-0.325,-6.169,19
173,172,Taylor Moore,60,-0.334,-16.72,50
174,T170,Ryan Palmer,55,-0.359,-13.643,38
175,177,Kiradech Aphibarnrat,43,-0.376,-9.013,24
176,184,Brendan Steele,61,-0.382,-17.589,46
177,178,Brian Stuard,75,-0.391,-19.92,51
178,179,Chez Reavie,65,-0.399,-21.168,53
179,180,Lee Hodges,65,-0.4,-21.213,53
180,181,Hayden Buckley,61,-0.417,-18.775,45
181,175,Danny Willett,44,-0.424,-11.012,26
182,182,Henrik Norlander,56,-0.425,-17.834,42
183,183,Jim Herman,43,-0.432,-14.245,33
184,186,Charley Hoffman,51,-0.444,-18.658,42
185,176,Matt Jones,61,-0.447,-22.788,51
186,187,Martin Laird,48,-0.467,-19.138,41
187,189,James Hahn,51,-0.479,-17.23,36
188,190,Brett Drewitt,42,-0.497,-11.921,24
189,193,Jason Dufner,38,-0.498,-12.453,25
190,191,Scott Gutschewski,42,-0.512,-11.258,22
191,188,Russell Knox,77,-0.513,-31.819,62
192,192,Doug Ghim,66,-0.539,-26.944,50
193,194,Matt Wallace,38,-0.566,-16.414,29
194,195,Vaughn Taylor,39,-0.574,-13.783,24
195,196,Michael Gligic,53,-0.575,-20.136,35
196,197,Branden Grace,50,-0.587,-24.056,41
197,199,Lucas Glover,71,-0.596,-35.758,60
198,198,Charl Schwartzel,45,-0.619,-19.186,31
199,201,Luke List,65,-0.669,-33.453,50
200,200,Camilo Villegas,58,-0.761,-27.395,36
201,202,Joseph Bramlett,63,-0.819,-38.494,47
202,203,Kyle Stanley,47,-1.138,-30.731,27
